Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Puntuacion(exceptional),Puntuacion(recommended),Puntuacion(meh),Puntuacion(skip)
Wii,2006,Sports,41.36,28.96,3.77,8.45,82.53,4.18,33.2,55.74,9.02,2.05
NES,1985,Platform,29.08,3.58,6.81,0.77,40.24,4.3,43.1,47.98,6.83,2.09
Wii,2008,Racing,15.68,12.76,3.79,3.29,35.52,4.29,36.36,58.04,4.9,0.7
Wii,2009,Sports,15.61,10.93,3.28,2.95,32.77,4.2,37.8,51.18,7.87,3.15
DS,2006,Platform,11.28,9.14,6.5,2.88,29.8,4.14,24.79,67.77,5.79,1.65
Wii,2009,Platform,14.44,6.94,4.7,2.24,28.32,4.05,21.05,65.18,12.55,1.21
DS,2005,Racing,9.71,7.47,4.13,1.9,23.21,4.24,35.1,56.73,6.94,1.22
X360,2010,Misc,15.0,4.89,0.24,1.69,21.81,3.44,5.88,55.88,26.47,11.76
Wii,2009,Sports,9.01,8.49,2.53,1.77,21.79,3.64,4.55,63.64,27.27,4.55
PS3,2013,Action,7.02,9.09,0.98,3.96,21.04,4.47,58.95,32.87,6.35,1.83
X360,2013,Action,9.66,5.14,0.06,1.41,16.27,4.47,58.95,32.87,6.35,1.83
PS2,2004,Action,9.43,0.4,0.41,10.57,20.81,4.51,61.28,32.08,4.78,1.87
SNES,1990,Platform,12.78,3.75,3.54,0.55,20.61,4.39,62.19,25.21,7.12,5.48
GB,1989,Platform,10.83,2.71,4.18,0.42,18.14,3.91,20.3,56.39,20.3,3.01
NES,1988,Platform,9.54,3.44,3.84,0.46,17.28,4.39,59.23,29.15,7.2,4.43
PS2,2002,Action,8.41,5.49,0.47,1.78,16.15,4.45,56.01,36.86,4.97,2.16
PS2,2001,Racing,6.85,5.09,1.87,1.16,14.98,4.3,40.0,50.0,10.0,7.218181818181818
X360,2011,Shooter,9.04,4.24,0.13,1.32,14.73,3.76,14.36,56.64,24.32,4.67
PS3,2011,Shooter,5.54,5.73,0.49,1.57,13.32,3.76,14.36,56.64,24.32,4.67
PC,2011,Shooter,0.41,0.98,0.0,0.32,1.72,3.76,14.36,56.64,24.32,4.67
Wii,2011,Shooter,0.55,0.2,0.0,0.08,0.82,3.76,14.36,56.64,24.32,4.67
X360,2010,Shooter,9.7,3.68,0.11,1.13,14.61,4.03,27.15,56.31,12.69,3.85
PS3,2010,Shooter,5.99,4.37,0.48,1.79,12.63,4.03,27.15,56.31,12.69,3.85
Wii,2010,Shooter,0.8,0.45,0.0,0.12,1.37,4.03,27.15,56.31,12.69,3.85
DS,2010,Shooter,0.5,0.04,0.0,0.04,0.58,4.03,27.15,56.31,12.69,3.85
PS3,2012,Shooter,4.99,5.73,0.65,2.42,13.79,3.94,23.64,54.5,18.22,3.64
X360,2012,Shooter,8.25,4.24,0.07,1.12,13.67,3.94,23.64,54.5,18.22,3.64
PC,2012,Shooter,0.64,0.69,0.0,0.19,1.53,3.94,23.64,54.5,18.22,3.64
WiiU,2012,Shooter,0.2,0.18,0.0,0.03,0.41,3.94,23.64,54.5,18.22,3.64
X360,2009,Shooter,8.52,3.59,0.08,1.28,13.47,4.26,39.18,51.17,7.73,1.92
PS3,2009,Shooter,4.99,3.64,0.38,1.6,10.6,4.26,39.18,51.17,7.73,1.92
PC,2009,Shooter,0.01,0.79,0.0,0.09,0.88,4.26,39.18,51.17,7.73,1.92
PS2,2001,Action,6.99,4.51,0.3,1.3,13.1,4.15,33.38,52.93,11.4,2.29
Wii,2008,Fighting,6.62,2.55,2.66,1.01,12.84,4.31,43.39,48.81,5.42,2.37
3DS,2011,Racing,5.03,4.02,2.69,0.91,12.66,4.1,21.11,70.35,7.04,1.51
DS,2005,Simulation,2.5,3.45,5.33,0.86,12.13,4.26,37.61,55.96,3.67,2.75
X360,2007,Shooter,7.97,2.81,0.13,1.21,12.12,4.35,52.85,34.92,9.38,2.85
N64,1996,Platform,6.91,2.85,1.91,0.23,11.89,4.45,65.43,23.88,5.74,4.96
PS2,2004,Racing,3.01,0.01,1.1,7.53,11.66,4.41,52.33,40.7,4.65,2.33
Wii,2007,Platform,6.06,3.35,1.2,0.74,11.35,4.38,64.72,22.62,5.83,6.83
GB,1992,Adventure,6.16,2.04,2.69,0.29,11.18,4.25,35.8,58.02,3.7,2.47
X360,2008,Action,6.76,3.07,0.14,1.03,11.01,4.25,42.38,45.19,10.16,2.27
PS3,2008,Action,4.76,3.69,0.44,1.61,10.5,4.25,42.38,45.19,10.16,2.27
PC,2008,Action,0.01,0.79,0.0,0.07,0.88,4.25,42.38,45.19,10.16,2.27
PS,1997,Racing,4.02,3.87,2.54,0.52,10.95,4.31,44.55,45.54,7.92,1.98
3DS,2011,Platform,4.89,3.0,2.14,0.78,10.81,4.17,25.18,68.09,6.03,0.71
PS3,2010,Racing,2.96,4.82,0.81,2.11,10.7,4.15,36.09,47.34,14.2,2.37
X360,2013,Shooter,6.73,2.56,0.04,0.91,10.25,3.14,5.17,37.0,41.25,16.58
PS3,2013,Shooter,4.1,3.63,0.38,1.25,9.36,3.14,5.17,37.0,41.25,16.58
PS4,2013,Shooter,1.78,1.43,0.05,0.57,3.83,3.14,5.17,37.0,41.25,16.58
XOne,2013,Shooter,1.88,0.77,0.0,0.27,2.92,3.14,5.17,37.0,41.25,16.58
PC,2013,Shooter,0.23,0.41,0.0,0.05,0.7,3.14,5.17,37.0,41.25,16.58
WiiU,2013,Shooter,0.22,0.09,0.01,0.03,0.34,3.14,5.17,37.0,41.25,16.58
Wii,2011,Misc,5.95,3.11,0.0,1.06,10.12,3.51,14.29,51.43,20.0,14.29
X360,2011,Misc,1.47,0.39,0.0,0.16,2.02,3.51,14.29,51.43,20.0,14.29
PS3,2011,Misc,0.33,0.2,0.0,0.09,0.62,3.51,14.29,51.43,20.0,14.29
3DS,2012,Platform,3.66,3.14,2.47,0.63,9.9,3.73,10.65,57.4,28.99,2.96
X360,2010,Shooter,7.04,1.95,0.08,0.79,9.86,4.28,46.32,41.42,9.4,2.86
X360,2012,Shooter,6.65,2.28,0.04,0.74,9.71,3.82,20.11,50.18,25.28,4.43
PS,1999,Racing,3.88,3.42,1.69,0.5,9.49,4.4,55.56,37.37,3.03,4.04
X360,2007,Shooter,5.93,2.36,0.13,0.9,9.31,4.39,50.28,42.25,5.37,2.1
PS3,2007,Shooter,3.11,2.26,0.28,1.03,6.68,4.39,50.28,42.25,5.37,2.1
PC,2007,Shooter,0.0,1.12,0.0,0.03,1.15,4.39,50.28,42.25,5.37,2.1
DS,2007,Shooter,0.95,0.01,0.01,0.08,1.05,4.39,50.28,42.25,5.37,2.1
SNES,1994,Platform,4.36,1.71,3.0,0.23,9.3,4.4,56.57,32.86,7.71,2.86
3DS,2012,Simulation,2.03,2.36,4.39,0.39,9.16,4.35,54.74,35.4,4.74,5.11
DS,2007,Misc,4.4,1.85,1.98,0.68,8.91,3.89,21.43,64.29,5.36,8.93
X360,2011,Role-Playing,5.05,2.79,0.1,0.85,8.79,4.42,57.27,31.62,8.95,2.16
PS3,2011,Role-Playing,2.55,2.6,0.25,1.0,6.41,4.42,57.27,31.62,8.95,2.16
PC,2011,Role-Playing,1.16,2.12,0.0,0.6,3.88,4.42,57.27,31.62,8.95,2.16
XB,2004,Shooter,6.82,1.53,0.05,0.08,8.49,4.39,52.34,38.89,6.73,2.05
Wii,2010,Misc,1.75,3.47,2.49,0.67,8.38,3.67,10.0,73.33,3.33,13.33
Wii,2007,Misc,3.74,2.24,1.58,0.7,8.27,3.72,12.96,64.81,12.96,9.26
PS2,2001,Role-Playing,2.91,2.07,2.73,0.33,8.05,4.39,58.45,29.36,8.59,3.6
PC,2009,Simulation,0.99,6.42,0.0,0.6,8.01,4.02,25.8,56.87,14.29,3.05
Wii,2007,Sports,2.57,3.86,0.66,0.91,7.99,3.35,10.0,35.0,45.0,10.0
PSP,2005,Action,2.9,2.81,0.24,1.73,7.69,3.98,15.94,70.53,11.11,2.42
PS4,2014,Shooter,2.81,3.48,0.14,1.23,7.66,3.45,8.03,46.24,37.2,8.54
XOne,2014,Shooter,3.22,1.55,0.01,0.48,5.27,3.45,8.03,46.24,37.2,8.54
PS3,2014,Shooter,1.56,1.93,0.19,0.68,4.36,3.45,8.03,46.24,37.2,8.54
X360,2014,Shooter,2.77,1.11,0.0,0.4,4.29,3.45,8.03,46.24,37.2,8.54
PC,2014,Shooter,0.15,0.23,0.0,0.03,0.41,3.45,8.03,46.24,37.2,8.54
N64,1998,Action,4.1,1.89,1.45,0.16,7.6,4.39,64.18,23.11,6.42,6.29
PS4,2016,Sports,0.66,5.75,0.08,1.11,7.59,3.32,7.31,47.95,29.41,15.33
XOne,2016,Sports,0.43,2.05,0.0,0.17,2.65,3.32,7.31,47.95,29.41,15.33
PS3,2016,Sports,0.05,0.55,0.03,0.1,0.73,3.32,7.31,47.95,29.41,15.33
X360,2016,Sports,0.07,0.28,0.0,0.03,0.38,3.32,7.31,47.95,29.41,15.33
PC,2016,Sports,0.0,0.11,0.0,0.01,0.12,3.32,7.31,47.95,29.41,15.33
PS,1997,Platform,3.78,2.17,1.31,0.31,7.58,4.27,38.12,53.85,6.32,1.71
Wii,2010,Platform,3.56,2.35,0.98,0.62,7.51,4.37,63.93,23.08,5.84,7.16
NES,1988,Platform,5.39,1.18,0.7,0.19,7.46,3.93,20.72,58.57,17.13,3.59
X360,2008,Shooter,4.81,1.88,0.0,0.69,7.38,3.95,20.39,60.33,16.24,3.04
PS3,2008,Shooter,2.73,1.83,0.0,0.83,5.39,3.95,20.39,60.33,16.24,3.04
Wii,2008,Shooter,1.17,0.58,0.0,0.18,1.94,3.95,20.39,60.33,16.24,3.04
DS,2008,Shooter,0.56,0.25,0.0,0.08,0.89,3.95,20.39,60.33,16.24,3.04
PC,2008,Shooter,0.02,0.14,0.0,0.03,0.18,3.95,20.39,60.33,16.24,3.04
X360,2011,Shooter,4.46,2.11,0.06,0.69,7.32,4.05,26.69,56.77,13.87,2.66
PS3,2011,Shooter,2.85,2.89,0.35,1.08,7.17,4.05,26.69,56.77,13.87,2.66
PC,2011,Shooter,0.89,1.43,0.0,0.46,2.78,4.05,26.69,56.77,13.87,2.66
PS4,2015,Role-Playing,2.53,3.27,0.24,1.13,7.16,3.8,20.66,48.3,26.12,4.92
XOne,2015,Role-Playing,2.51,1.32,0.01,0.38,4.22,3.8,20.66,48.3,26.12,4.92
PC,2015,Role-Playing,0.51,0.67,0.0,0.1,1.29,3.8,20.66,48.3,26.12,4.92
Wii,2006,Action,3.74,2.14,0.6,0.68,7.15,4.4,56.81,32.79,7.39,3.0
GC,2006,Action,1.15,0.36,0.04,0.04,1.59,4.4,56.81,32.79,7.39,3.0
PS,1998,Platform,3.68,1.75,1.42,0.28,7.13,4.33,48.15,42.67,5.96,3.22
WiiU,2014,Racing,3.15,2.15,1.28,0.51,7.09,4.35,51.89,38.49,6.19,3.44
GC,2001,Fighting,4.41,1.04,1.39,0.22,7.07,4.35,58.52,29.83,5.68,5.97
PS2,2002,Shooter,2.93,2.75,0.17,0.99,6.83,3.89,23.08,56.73,13.46,6.73
XB,2002,Shooter,1.0,0.43,0.0,0.06,1.49,3.89,23.08,56.73,13.46,6.73
GC,2002,Shooter,0.46,0.12,0.0,0.02,0.59,3.89,23.08,56.73,13.46,6.73
PS,1996,Platform,3.23,2.35,0.94,0.3,6.82,4.13,28.38,60.54,8.92,2.16
Wii,2012,Misc,4.05,2.16,0.0,0.55,6.76,3.95,10.53,73.68,15.79,9.488846153846154
X360,2012,Misc,0.9,0.19,0.0,0.09,1.18,3.95,10.53,73.68,15.79,8.575384615384614
PS3,2012,Misc,0.26,0.11,0.0,0.06,0.43,3.95,10.53,73.68,15.79,7.985217391304348
WiiU,2012,Misc,0.21,0.13,0.0,0.03,0.37,3.95,10.53,73.68,15.79,9.124285714285715
X360,2008,Shooter,4.15,1.9,0.06,0.64,6.75,4.28,39.85,51.32,7.06,1.76
PS3,2011,Action,2.77,2.75,0.19,1.03,6.74,4.37,48.31,43.47,6.53,1.69
PS3,2009,Action,3.27,2.2,0.21,0.98,6.66,4.4,56.81,33.33,6.14,3.71
PS3,2011,Sports,0.84,4.3,0.11,1.39,6.65,3.4,10.08,48.84,26.36,14.73
X360,2011,Sports,0.84,2.78,0.02,0.53,4.18,3.4,10.08,48.84,26.36,14.73
Wii,2011,Sports,0.15,0.5,0.0,0.11,0.76,3.4,10.08,48.84,26.36,14.73
PSP,2011,Sports,0.12,0.25,0.02,0.13,0.52,3.4,10.08,48.84,26.36,14.73
PC,2011,Sports,0.04,0.33,0.0,0.1,0.47,3.4,10.08,48.84,26.36,14.73
3DS,2011,Sports,0.08,0.26,0.0,0.05,0.39,3.4,10.08,48.84,26.36,14.73
PS2,2011,Sports,0.0,0.02,0.0,0.06,0.09,3.4,10.08,48.84,26.36,14.73
NES,1986,Action,3.74,0.93,1.69,0.14,6.51,4.08,33.33,48.61,14.24,3.82
PS3,2010,Action,2.79,2.53,0.17,0.99,6.49,4.43,60.16,29.41,6.88,3.54
X360,2010,Action,3.7,1.95,0.09,0.58,6.32,4.43,60.16,29.41,6.88,3.54
PS3,2013,Sports,0.78,4.24,0.07,1.37,6.47,3.39,10.3,47.6,27.69,14.42
X360,2013,Sports,0.92,2.89,0.01,0.4,4.22,3.39,10.3,47.6,27.69,14.42
PS4,2013,Sports,0.61,1.85,0.11,0.44,3.01,3.39,10.3,47.6,27.69,14.42
XOne,2013,Sports,0.41,0.66,0.0,0.09,1.16,3.39,10.3,47.6,27.69,14.42
PSV,2013,Sports,0.08,0.23,0.01,0.09,0.41,3.39,10.3,47.6,27.69,14.42
PC,2013,Sports,0.01,0.36,0.0,0.03,0.4,3.39,10.3,47.6,27.69,14.42
Wii,2013,Sports,0.0,0.36,0.0,0.02,0.38,3.39,10.3,47.6,27.69,14.42
3DS,2013,Sports,0.0,0.22,0.0,0.01,0.24,3.39,10.3,47.6,27.69,14.42
PSP,2013,Sports,0.0,0.15,0.0,0.04,0.19,3.39,10.3,47.6,27.69,14.42
Wii,2010,Platform,3.17,1.79,1.03,0.46,6.44,4.41,54.96,35.88,6.87,2.29
XB,2001,Shooter,4.98,1.3,0.08,0.07,6.43,4.33,53.17,33.41,10.24,3.17
PS2,2002,Role-Playing,3.64,1.2,1.49,0.07,6.4,4.39,51.31,39.22,7.84,1.63
X360,2009,Shooter,4.34,1.34,0.06,0.61,6.34,4.05,31.13,48.53,17.65,2.7
GC,2002,Platform,4.01,1.26,0.87,0.17,6.31,4.27,50.89,33.1,12.1,3.91
PC,2004,Role-Playing,0.08,6.21,0.0,0.0,6.29,4.31,54.33,31.5,9.61,4.57
X360,2011,Shooter,4.05,1.59,0.07,0.5,6.21,4.21,34.05,55.91,8.6,1.43
X360,2010,Sports,3.92,1.73,0.03,0.51,6.19,3.25,9.91,46.85,22.52,20.72
X360,2006,Shooter,3.54,1.88,0.07,0.6,6.09,4.11,31.82,52.91,12.68,2.59
PS4,2014,Sports,0.8,4.33,0.05,0.9,6.08,3.36,7.71,47.87,30.63,13.79
PS3,2014,Sports,0.58,3.02,0.04,0.64,4.28,3.36,7.71,47.87,30.63,13.79
X360,2014,Sports,0.79,1.92,0.0,0.21,2.92,3.36,7.71,47.87,30.63,13.79
XOne,2014,Sports,0.6,1.42,0.0,0.16,2.18,3.36,7.71,47.87,30.63,13.79
PSV,2014,Sports,0.08,0.35,0.05,0.12,0.59,3.36,7.71,47.87,30.63,13.79
Wii,2014,Sports,0.15,0.37,0.0,0.04,0.56,3.36,7.71,47.87,30.63,13.79
3DS,2014,Sports,0.09,0.34,0.0,0.03,0.45,3.36,7.71,47.87,30.63,13.79
PC,2014,Sports,0.0,0.27,0.0,0.02,0.28,3.36,7.71,47.87,30.63,13.79
PS2,2001,Action,2.45,2.01,0.87,0.72,6.05,4.36,63.47,23.75,5.19,7.58
GEN,1992,Platform,4.47,1.2,0.16,0.19,6.03,4.27,39.66,52.79,5.03,2.51
PS,1998,Action,3.18,1.83,0.78,0.24,6.03,4.43,65.89,23.0,5.17,5.95
PS3,2008,Action,2.63,1.71,0.83,0.82,5.99,4.4,58.74,29.61,8.25,3.4
PS2,2006,Role-Playing,1.88,0.0,2.33,1.74,5.95,4.2,35.04,51.28,12.82,0.85
PS3,2008,Platform,2.8,1.98,0.17,0.87,5.82,4.08,30.91,51.77,14.34,2.98
DS,2009,Role-Playing,0.63,0.67,4.35,0.15,5.78,4.41,55.88,35.29,5.88,2.94
PS4,2014,Shooter,2.49,2.07,0.16,0.92,5.64,3.69,20.06,43.02,29.84,7.07
XOne,2014,Shooter,2.14,0.92,0.0,0.31,3.37,3.69,20.06,43.02,29.84,7.07
X360,2014,Shooter,1.31,0.43,0.0,0.18,1.92,3.69,20.06,43.02,29.84,7.07
PS3,2014,Shooter,0.68,0.56,0.12,0.25,1.62,3.69,20.06,43.02,29.84,7.07
DS,2006,Simulation,3.07,1.91,0.07,0.57,5.63,4.0,13.89,72.22,13.89,6.426666666666667
PS3,2009,Action,2.54,1.93,0.21,0.86,5.55,4.42,54.61,37.2,5.92,2.27
X360,2009,Action,3.11,1.55,0.08,0.51,5.26,4.42,54.61,37.2,5.92,2.27
X360,2007,Adventure,3.28,1.64,0.07,0.56,5.54,3.89,18.63,58.25,19.75,3.36
PS3,2007,Adventure,1.91,2.0,0.09,0.82,4.82,3.89,18.63,58.25,19.75,3.36
X360,2009,Racing,2.99,1.9,0.1,0.5,5.49,3.81,16.33,60.54,17.01,6.12
GBA,2001,Platform,3.14,1.24,0.91,0.2,5.49,3.7,16.67,63.33,6.67,13.33
PS3,2011,Action,2.71,1.85,0.11,0.81,5.48,4.42,54.68,36.93,6.46,1.93
X360,2011,Action,2.99,1.27,0.04,0.42,4.73,4.42,54.68,36.93,6.46,1.93
PC,2011,Action,0.16,0.28,0.0,0.09,0.53,4.42,54.68,36.93,6.46,1.93
PS2,2001,Platform,2.07,2.29,0.24,0.82,5.42,3.79,13.7,57.53,26.03,2.74
PS,2000,Role-Playing,1.62,0.77,2.78,0.14,5.3,4.37,61.79,25.29,6.84,6.08
PS2,2003,Role-Playing,1.92,1.08,2.11,0.17,5.29,3.55,11.76,49.02,30.39,8.82
N64,1999,Platform,3.33,0.79,1.09,0.06,5.27,4.0,36.19,39.05,19.05,5.71
PS,1997,Action,2.3,2.46,0.2,0.28,5.24,3.74,16.67,60.28,13.48,9.57
PC,1997,Action,0.91,1.25,0.0,0.13,2.29,3.74,16.67,60.28,13.48,9.57
WiiU,2012,Platform,2.3,1.34,1.27,0.32,5.22,3.88,14.81,64.44,17.78,2.96
PS2,2004,Role-Playing,0.65,0.75,3.61,0.2,5.21,4.38,60.87,24.64,10.14,4.35
DS,2007,Puzzle,1.21,2.43,1.03,0.52,5.19,4.4,45.16,50.0,4.84,23.087142857142855
SNES,1995,Platform,2.1,0.74,2.2,0.11,5.15,4.37,60.28,28.04,6.07,5.61
PC,2012,Role-Playing,2.44,2.16,0.0,0.54,5.14,4.1,28.22,56.93,13.14,1.7
